Tafas Communal Militia (Syria),167
Mutiny of YPG: Peoples Protection Units,168
JMA: Army of Emigrants and Supporters,169
Military Forces of Syria (2000-) 11th Armored Division,170
Military Forces of Syria (2000-) 25th Armored Division,171
Azaz Communal Militia (Syria),172
Northern Hawks Brigade,173
Der'e al Hasakeh,174
Zainabiyoun Brigade,175
Government of Russia (2000-),176
Military Forces of Russia (2000-) Special Forces,177
Jaysh al Tawhid,178
Karak Communal Militia (Syria),179
Aknaf Bait al Maqdis,180
Abu Amara Brigade,181
QSS: Youth of Sunna Forces,182
5th Corps,183
Ahrar al Hasakah Gathering (Syria),184
Ajnad al Sham Islamic Union,185
Al Zu'bi Tribal Militia (Syria),186
Salakhed Communal Militia (Syria),187
Private Security Forces (Russia),188
Government of Iran (1989-),189
Military Forces of Syria (2000-) Prison Guards,190
Ferwan Communal Militia (Syria),191
Talbiseh Communal Militia (Syria),192
Khalid ibn al Walid Brigade,193
JaT: Revolutionary Army,194
Liwa Samarkand,195
Sham al-Islam,196
Government of the United States (2017-2021),197
Al-Maghawir Forces,198
Islamic State (International),199
Liwa Fajr al Umma ,200
Tell Hadara Communal Militia (Syria),201
PIJ: Palestinian Islamic Jihad,202
Deir-ez-Zor Revolutionaries Gathering,203
51st Brigade,204
Jarablus Communal Militia (Syria),205
Samkeh Communal Militia (Syria),206
102nd Brigade,207
18 March Division,208
Islamic State (Iraq),209
Imam Bukhari Battalion,210
Military Forces of Syria (2000-) 7th Armored Division,211
Civilians (Turkey),212
Al-Dur Communal Militia (Syria),213
FUS: Lions of Sunnah Division,214
YPG: Peoples Democratic Forces - Anti-Terror Unit,215
Busra Esh-Sham Communal Militia (Syria),216
Al-Sham Corps,217
HPC: Essential Protection Forces,218
Ariqa Communal Militia (Syria),219
Government of the United States (2017-),220
Al Qaeda,221
Military Forces of Syria (2000-) 1st Armored Division,222
Al-Kubar Communal Militia (Syria),223
MDA: Deir-ez-Zor Military Council,224
Civilians (United Kingdom),225
Mutiny of QDW: National Defense Forces,226
Al-Afadilah Tribal Militia (Syria),227
Daraya Unit,228
KDP: Kurdistan Democratic Party,229
Hamza Bin Abdul Muttalib,230
Repel the Invaders Operation Room,231
Snideh Communal Militia (Syria),232
Military Forces of Iraq (2018-) Popular Mobilization Forces,233
JFS: Al Nusra Front,234
Mare' Military Council,235
Raqqa Internal Security Forces,236
LaF: Battalion of Conquest,237
23rd Division,238
Abu Al Fadl Al Abbas Forces,239
Humat Al-Aqeeda (Syria),240
Civilians (Iran),241
Mutiny of FaR: Al Rahman Corps,242
Al-Izba Communal Militia (Syria),243
Al Hulaybeen Tribal Militia (Syria),244
Deir-ez-Zor Communal Militia (Syria),245
Islamic Freedom Brigade,246
Diwan al Hisbah,247
JaF: Army of Conquest,248
Liwa Haydaryoun,249
Military Forces of Iraq (2018-2020) Popular Mobilization Forces,250
The South Central Operations Room,251
Hssein Communal Militia (Syria),252
Military Forces of Iraq (2014-2018),253
Ansar al Sham Battalion,254
Mutiny of Islamist Militia (Syria),255
Military Forces of Syria (2000-) 3rd Armored Division,256
Shiite Muslim Militia (Syria),257
Military Council,258
Civilians (United States),259
Mutiny of QSD: Syrian Democratic Forces,260
QSF: Qalamoon Shield Forces,261
Jdid Ekeidat Communal Militia (Syria),262
4th Legion,263
Sukaryu Communal Militia (Syria),264
2nd Coastal Division,265
Al-Bujamil Tribal Militia (Syria),266
Civilians (Tajikistan),267
Tafas Tribal Militia (Syria),268
Military Forces of Syria (2000-) 9th Armored Division,269
Security Executive Force,270
Government of Israel (2009-),271
Military Forces of Syria (2000-) 8th Division,272
As-Sanamayn Communal Militia (Syria),273
Rural Damascus Communal Militia (Syria),274
Ajnad al Sham,275
Elhisan Communal Militia (Syria),276
As-Sweida Bedouins Tribal Militia (Syria),277
Ma'arrat An Nu'man Communal Militia (Syria),278
9th Division Special Forces,279
Military Forces of Iran (1989-) Quds Force,280
Rijal al Karama,281
Government of Syria (2000- ),282
Al Maghawir Division,283
Communal Militia (Syria),284
Ash-Shajara Communal Militia (Syria),285
Jizeh Communal Militia (Syria),286
Mujahideen of Horan,287
LAFA: Abu Al Fadhal al Abbas Brigade,288
Abna'a al Qadasya,289
Al Haramain Brigade,290
Tell Abiad Communal Militia (Syria),291
Darwasha Clan Militia (Syria),292
Ajnad al Hasakah,293
Syrian Salvation Government,294
Assal al Ward Communal Militia (Syria),295
Hananu Brigade (Syria),296
Ariha Communal Militia (Syria),297
Abna al Sham (Idleb),298
Soyouf al Islam Battalion,299
Menbij Internal Security Forces,300
Boumaish Clan Militia (Syria),301
Shuhada al Islam,302
Mare' Communal Militia (Syria),303
Aghtrin Communal Militia (Syria),304
Niyarah Communal Militia (Syria),305
Saraqeb Revolutionary Front,306
Momtaneh Communal Militia (Syria),307
Nahta Communal Militia (Syria),308
Eastern Ghouta Communal Militia (Syria),309
QSD: Syrian Democratic Forces Military Police,310
Thiban Communal Militia (Syria),311
Orman Communal Militia (Syria),312
Breiha Communal Militia (Syria),313
Civilians (Algeria),314
Jaysh al Thani,315
Eastern Shield Army,316
National Coalition Of Syrian Revolution and Opposition Forces,317
Baghuz Communal Militia (Syria),318
Dar'a Communal Militia (Syria),319
Jaysh Al Ahfad,320
Shar'a Tribal Militia (Syria),321
Al Jabbour Tribal Militia (Syria),322
Maram Communal Militia (Syria),323
Azmarin Communal Militia (Syria),324
Shamarekh Communal Militia (Syria),325
Mutaaz Billah Army,326
Liwa Saif al Islam,327
Shiheil Communal Group (Syria),328
Kataib al Majd,329
Islamist Militia (International),330
Qminas Communal Militia (Syria),331
Louzi Communal Militia (Syria),332
Al Bubatoush Tribal Militia (Syria),333
Al Muwali Tribal Group (Syria),334
Kishkiyeh Communal Group (Syria),335
Al Ahrar Assembly,336
Unidentified Armed Group (International),337
Quneitra Hawks,338
Walgha Communal Militia (Syria),339
Buferio Tribal Militia (Syria),340
Government of Syria (2000-),341
Alwiya al Furqan,342
Katibat Jabal al Islam,343
Shamarin Communal Militia (Syria),344
Iz al Islam Battalion,345
Kurdish Falcons Brigade,346
Revolutionary Command Council of Quneitra and the Golan,347
Kafr Takharim Communal Militia (Syria),348
Khan Shaykun Communal Militia (Syria),349
1st Infantry Division,350
Qasim Communal Militia (Syria),351
Military Forces of the United States (2017-2021),352
Ilyas Communal Militia (Syria),353
Abu Ma'shi Tribal Militia (Syria),354
Liwa Tawhid al Janoub,355
Military Forces of Iraq (2020-),356
JaY: Yarmouk Army,357
